Lookup_Field_Type,Lookup_Field,Metadata1,Metadata2
SvcProv,xxUrgent Care EC,Exp,
SvcProv,xxStat Bed Charge,Exp,
SvcProv,Woung Tech EC,Amb,
SvcProv,Wound Tech WES,Amb,
SvcProv,Wound Tech RLK,Amb,
SvcProv,Wound Tech MFLD,Amb,
SvcProv,Wound Tech EC,Amb,
SvcProv,Wound Tech BDH,Hosp,
SvcProv,Wound Healing RLK,Amb,
SvcProv,Wound Healing MFLD,Amb,
SvcProv,Wound Healing LDY,Amb,
SvcProv,Wound Healing EC,Amb,
SvcProv,Wound Healing BDC,Amb,
SvcProv,Womens Hlth Svcs ECH,Hosp,
SvcProv,Womens Hlth Svcs BDH,Hosp,
SvcProv,Womens Hlth Svc WESH,Hosp,
SvcProv,Womens Hlth Svc MQAH,Hosp,
SvcProv,Womens Hlth Svc LMCH,Hosp,
SvcProv,Womens Health WESH,Hosp,
SvcProv,Womens Health ECH,Hosp,
SvcProv,West Post Acute LTC,Amb,
SvcProv,West Onc Palliative,Amb,
SvcProv,West LT Onsite Svcs,Amb,
SvcProv,West Dist Child Psyc,Amb,
SvcProv,WESH Temp Nur St,Amb,
SvcProv,Wausau ASC,Amb,
SvcProv,Walk in Tech RLK,Amb,
SvcProv,Walk In Care WRC,Amb,
SvcProv,Walk in Care RLK,Amb,
SvcProv,Walk In Care LDY,Amb,
SvcProv,W Onc Pall Tech EC,Amb,
SvcProv,Vascular Surgery WES,Amb,
SvcProv,Vascular Surgery RLK,Amb,
SvcProv,Vascular Surgery NVL,Amb,
SvcProv,Vascular Surgery MRL,Amb,
SvcProv,Vascular Surgery MQA,Amb,
SvcProv,Vascular Surgery EC,Amb,
SvcProv,Vascular Surg WAU,Amb,
SvcProv,Vascular Surg MFLD,Amb,
SvcProv,Vasc Surg Tech MFLD,Amb,
SvcProv,Vasc Surg Tech EC,Amb,
SvcProv,Urology WES,Amb,
SvcProv,Urology WAU,Amb,
SvcProv,Urology Tech WES,Amb,
SvcProv,Urology Tech SPC,Amb,
SvcProv,Urology Tech MFLD,Amb,
SvcProv,Urology Tech EC,Amb,
SvcProv,Urology Tech BDH,Amb,
SvcProv,Urology SPC,Amb,
SvcProv,Urology RLK,Amb,
SvcProv,Urology PRK,Amb,
SvcProv,Urology MRL,Amb,
SvcProv,Urology MQA,Amb,
SvcProv,Urology MFLD,Amb,
SvcProv,Urology FHC CHI,Amb,
SvcProv,Urology EC,Amb,
SvcProv,Urology CHI,Amb,
SvcProv,Urology BDC,Amb,
SvcProv,Urgent Care WRC,Amb,
SvcProv,Urgent Care WES,Amb,
SvcProv,Urgent Care WAU,Amb,
SvcProv,Urgent Care SPC,Amb,
SvcProv,Urgent Care MQA,Amb,
SvcProv,Urgent Care MFLD,Amb,
SvcProv,Urgent Care LHA,Amb,
SvcProv,Urgent Care FHC LHA,Amb,
SvcProv,Urg Cre Tech WES,Amb,
SvcProv,Urg Care Tech MFLD,Amb,
SvcProv,Ultrasound WESH,Hosp,
SvcProv,Ultrasound SPH,Hosp,
SvcProv,Ultrasound PFH,Hosp,
SvcProv,Ultrasound NVLH,Hosp,
SvcProv,Ultrasound MQAH,Hosp,
SvcProv,Ultrasound LMCH,Hosp,
SvcProv,Ultrasound LDYH,Hosp,
SvcProv,Ultrasound ECH,Hosp,
SvcProv,Ultrasound BDH,Hosp,
SvcProv,Trauma Surg MFLD,Amb,
SvcProv,Traum Surg Tech MFLD,Amb,
SvcProv,System Rad Tech WES,Amb,
SvcProv,System Rad Tech RLK,Amb,
SvcProv,System Rad Tech MQA,Amb,
SvcProv,System Rad Tech MFLD,Amb,
SvcProv,System Rad Tech EC,Amb,
SvcProv,System Rad Prof WES,Amb,
SvcProv,System Rad Prof WAU,Amb,
SvcProv,System Rad Prof RLK,Amb,
SvcProv,System Rad Prof PFK,Amb,
SvcProv,System Rad Prof MQA,Amb,
SvcProv,System Rad Prof MFLD,Amb,
SvcProv,System Rad Prof LDY,Amb,
SvcProv,System Rad Prof HI,Amb,
SvcProv,System Rad Prof FLMH,Hosp,
SvcProv,System Rad Prof EC,Amb,
SvcProv,System Rad Prof,Amb,
SvcProv,System Path Prof,Lab,
SvcProv,Sys ST Onsite Svcs,Amb,
SvcProv,Swing Bed Svcs NVLH,Hosp,
